Score,Summary,Text,Sentiment,Cleaned_Text
5,Crunchy & Good Gluten-Free Sandwich Cookies!,"Having tried a couple of other brands of gluten-free sandwich cookies, these are the best of the bunch.  They're crunchy and true to the texture of the other ""real"" cookies that aren't gluten-free.  Some might think that the filling makes them a bit too sweet, but for me that just means I've satisfied my sweet tooth sooner!  The chocolate version from Glutino is just as good and has a true ""chocolatey"" taste - something that isn't there with the other gluten-free brands out there.",positive,tri coupl brand glutenfre sandwich cooki best bunch theyr crunchi true textur real cooki arent glutenfre might think fill make bit sweet mean ive satisfi sweet tooth sooner chocol version glutino good true chocolatey tast someth isnt glutenfre brand
5,great kitty treats,"My cat loves these treats. If ever I can't find her in the house, I just pop the top and she bolts out of wherever she was hiding to come get a treat. She doesn't like crunchy treats much, so these are perfect for her. I've given her all three flavors and she seems to like them all equally. They do tend to dry out by the time I near the end of the bottle, however. The flip-top lid is very handy. Very nice, inexpensive kitty treats. I have yet to meet a cat that doesn't just love these!",positive,cat love treat ever cant find hous pop top bolt wherev hide come get treat doesnt like crunchi treat much perfect ive given three flavor seem like equal tend dri time near end bottl howev fliptop lid handi nice inexpens kitti treat yet meet cat doesnt love
3,COFFEE TASTE,A little less than I expected.  It tends to have a muddy taste - not what I expected since they said it was the favorite of the company.,neutral,littl less expect tend muddi tast expect sinc said favorit compani
2,So the Mini-Wheats were too big?,"First there was Frosted Mini-Wheats, in original size, then there was Frosted Mini-Wheats Bite Size. Well, if for some reason those were too much of a mouthful, we now have Frosted Mini-Wheats Little Bits. Yes, these are about half the size of the Bite Size versions. This particular one is ""Cinnamon Roll"".<br /><br />There is nothing new to the table here with the exception of size, which I is unnecessary. Personally, I like original flavor and size the best. But the Bite Size edition were accommodating. These come off as a desperate attempt to give attention to a brand that needs some sort of life put back into it and all they came up with was making them smaller and having a new flavor, which is actually too sweet for me.<br /><br />A serving size is approximately 47 biscuits. Thats 1 gram of polyunsaturated fat, 46 grams of carbohydrates, 6g fiber, 12g of sugar, 5g of protein and 200mg of potassium. Generally they look good but I guess those that are watching their carb intake might want to be careful.<br /><br />These probably fit on a spoon better than its predecessors in a bowl of milk, but I like the other kinds cause they snack better without the milk. But here, these small ones are easily to snack more than you should.<br /><br />I am grading this product 2 stars for 3 reasons 1) I dont think making them smaller has any reason for existing outside of Kellogs filling the shelves with more versions of something that was fine to begin with. 2) This flavor, Cinnamon Roll, is sweet and has a synthetic taste to it. 3) On the plus side, I like Mini-Wheats in general, so it saved it from being one star.",negative,first frost miniwheat origin size frost miniwheat bite size well reason much mouth frost miniwheat littl bit ye half size bite size version particular one cinnamon rollther noth new tabl except size unnecessari person like origin flavor size best bite size edit accommod come desper attempt give attent brand need sort life put back came make smaller new flavor actual sweet mea serv size approxim biscuit that gram polyunsatur fat gram carbohydr fiber sugar protein potassium gener look good guess watch carb intak might want carefulthes probabl fit spoon better predecessor bowl milk like kind caus snack better without milk small one easili snack shouldi grade product star reason dont think make smaller reason exist outsid kellog fill shelv version someth fine begin flavor cinnamon roll sweet synthet tast plu side like miniwheat gener save one star
5,Great Taste . . .,"and I want to congratulate the graphic artist for putting the entire product name on such a small box.  The ad men must have really thought long and hard.<br /><br />But seriously, I love the product. The taste was refreshing and I thought that the taste was pleasing with no aftertaste.  Not too sweet and Goldilocks would have stopped right there if there was a choice of 3.  Easy to use as you just pour the contents into a 16 oz bottle of water and shake.  Mixed well, no granulation, you really couldn't ask for anything more and Lipton like a good drug dealer knows what they are doing, give me a taste for free and have me for life.  5 stars.",positive,want congratul graphic artist put entir product name small box men must realli thought long hardbut serious love product tast refresh thought tast pleas aftertast sweet goldilock would stop right choic easi use pour content bottl water shake mix well granul realli couldnt ask anyth lipton like good drug dealer know give tast free life star
4,Lifesavers - Pineapple flavor,"Please add more Pineapple flavor to your packages of lifesavers, in fact, can you sell pineapple flavor by itself?",positive,pleas add pineappl flavor packag lifesav fact sell pineappl flavor
5,The Best Tea!,I absolutely love Yorkshire tea and am so glad it is now available on Amazon!  A cup of this full-bodied black tea with milk in the morning is how I start each day and just love it!,positive,absolut love yorkshir tea glad avail amazon cup fullbodi black tea milk morn start day love
5,Lady Grey a hit!,I have such a hard time finding loose tea locally. Being able to order my favorite Lady Grey tea on Amazon is convenient and timesaving. The tea comes in a six-pack of tins that are just the right size to insure continued freshness. Speedy shipping too!,positive,hard time find loos tea local abl order favorit ladi grey tea amazon conveni timesav tea come sixpack tin right size insur continu fresh speedi ship
4,Pretty good rice noodles,"Previously, I've attempted a recipe with white rice noodles and overcooked them, which made them soggy. So I was determined not to overcook these brown rice noodles. I tried making two dishes. The first was a miso soup with brown rice noodles, which was really just broth with miso and green onions and the noodles added when it was hot. The noodles softened and puffed up, but I think I should of softened them in water and maybe rinsed them first. The broth ended up being a little starchy from the noodles, but it was pretty good.<br /><br />The noodles by themselves don't really have any flavor, they just take on the flavor of whatever dish they are in. So the rice noodles in miso probably wasn't the best idea because the mild miso flavor didn't really give the noodles much flavor. I also tried stir frying the noodles which was much better. I just soaked the noodles in hot water, for about a minute, and then drained them. They came out clear and kind of crunchy. Then I stir fried them with garlic, onion, salt, and coconut oil. I also added some vinegar and nama shoyu for flavor. These noodles came out crunchy and spicy and actually were pretty good.<br /><br />The nice thing about these noodles is they only need about a minute in warm water and then they can be fried or added to soups or other dishes, so they are fairly versatile. They are also gluten free and the brown rice noodles seem more firm than the white rice noodles. As another reviewer posted it does look like these noodles are made in Singapore.",positive,previous ive attempt recip white rice noodl overcook made soggi determin overcook brown rice noodl tri make two dish first miso soup brown rice noodl realli broth miso green onion noodl ad hot noodl soften puf think soften water mayb rins first broth end littl starchi noodl pretti goodth noodl dont realli flavor take flavor whatev dish rice noodl miso probabl wasnt best idea mild miso flavor didnt realli give noodl much flavor also tri stir fri noodl much better soak noodl hot water minut drain came clear kind crunchi stir fri garlic onion salt coconut oil also ad vinegar nama shoyu flavor noodl came crunchi spici actual pretti goodth nice thing noodl need minut warm water fri ad soup dish fairli versatil also gluten free brown rice noodl seem firm white rice noodl anoth review post look like noodl made singapor
5,Simply the best,"I make pancakes or waffles every Saturday morning with my kids, and there simply is no comparison between this product and any other baking powder I have come across. Even the more expensive brands from Trader Joe's or Whole Foods pale in comparison. Batter comes out light and fluffy every time, and my kids love them. I have also been known to eat a pancake or two. Get the pack of 6 and store up.",positive,make pancak waffl everi saturday morn kid simpli comparison product bake powder come across even expens brand trader joe whole food pale comparison batter come light fluffi everi time kid love also known eat pancak two get pack store
